Cell_ID,Coverage,Depth
1039,0.925,21.621
1113_D1,0.925,28.334
1113_E1,0.925,28.447
1113_F1,0.919,28.51
1363_A4,0.921,28.561
1363_D4,0.848,32.976
1363_H4,0.915,27.714
1673_A2,0.908,28.698
1673_A3,0.926,28.143
1673_D2,0.886,29.897
1743_A3,0.912,29.789
1743_C3,0.913,26.669
1743_F3,0.921,28.336
1864_E3,0.925,43.495
4402_A1,0.842,45.14
4402_A3,0.929,64.216
4638_A1,0.93,57.649
4638_A4,0.929,42.665
4638_B2,0.924,42.018
5657_D1,0.555,60.696
5657_H1,0.927,42.085
5828_C2,0.922,30.115
5828_G2,0.918,29.033
5919_C4,0.844,49.492
5919_D2,0.928,62.016
5919_E3,0.927,45.111
5919_F6,0.924,45.236
6032_A1,0.93,73.99
6032_C7,0.391,37.729
6032_E7,0.928,48.289
604_B2,0.868,27.277
604_B3,0.852,24.235
604_B6,0.883,26.97
