,Classification
4402_A1,0.90008223
4402_A3,0.985364
1864_E3,0.42548087
6032_A1,0.20331474
6032_C7,0.9458779
6032_E7,0.99816847
4638_A1,0.03696139
4638_A4,0.99512035
4638_B2,0.82666063
1039,0.7736844
5919_C4,0.86094207
5919_D2,0.9990196
5919_E3,0.9841853
5919_F6,0.92730063
5828_C2,0.9286456
5828_G2,0.9970567
5657_D1,0.99517053
5657_H1,0.99988985
1363_A4,0.46342888
1363_D4,0.02096852
1363_H4,0.0005416341
1673_A2,0.95693916
1673_A3,0.9994124
1673_D2,0.99862707
604_B2,0.63268965
604_B3,0.0032981057
604_B6,0.8184349
1743_A3,0.0024643452
1743_C3,4.823958e-05
1743_F3,0.038081527
1113_D1,0.9317134
1113_E1,0.80014765
1113_F1,0.990694
